name;maxSpeed;acceleration;fuelRateMixed;fuelType;wheelSize;truckMin;fuelVolume
35i 3.0 AT (306 ë.ñ.) 4WD;245;5.7;8.8;AI-95;245/50/R18;550;67
730Li 3.0 AT (258 ë.ñ.);245;7.8;9.8;AI-95;245/55/R17;630;82
750i xDrive 4.4 AT (450 ë.ñ.) 4WD;250;4.4;8.1;AI-95;245/50/R18;515;78
3.0si 3.0 AT (272 ë.ñ.) 4WD;225;8.1;10.2;AI-95;255/55/R18;620;85
320i xDrive 2.0 AT (184 ë.ñ.) 4WD;230;7.6;6.3;AI-95;225/50/R17;480;40
525i 2.5 MT (192 ë.ñ.);230;8.6;9.5;AI-95;205/65/R15;460;80
320i 2.0 AT (184 ë.ñ.);229;7.9;6.2;AI-95;225/55/R17;520;57
520i 2.0 AT (156 ë.ñ.);219;10.6;8.2;AI-95;225/55/R16;520;70
320i 2.0 AT (156 ë.ñ.);218;9.8;8.0;AI-98;225/55/R17;460;63
20i 2.0 AT (184 ë.ñ.) 4WD;210;8.6;7.5;AI-95;225/60/R17;550;67
630d xDrive 3.0d AT (249 ë.ñ.) 4WD;250;6.0;5.7;DT;225/60/R17;610;68
318i 1.9 AT (118 ë.ñ.);202;12.2;9.0;AI-95;195/65/R15;440;63
48i 4.8 AT (355 ë.ñ.) 4WD;240;6.5;12.5;AI-98;255/55/R18;620;85
4.4i 4.4 AT (286 ë.ñ.) 4WD;210;7.5;13.9;AI-95;235/65/R17;465;92
523i 2.5 MT (170 ë.ñ.);228;8.5;9.7;AI-95;205/65/R15;460;70
318i 2.0 AT (136 ë.ñ.);208;10.8;7.8;AI-95;205/55/R16;460;63
28i xDrive 2.0 AT (245 ë.ñ.) 4WD;230;6.5;7.3;AI-95;225/60/R17;550;67
520i 2.0 MT (129 ë.ñ.);203;11.9;10.1;AI-92;195/65/R15;460;80
730i 3.0 MT (218 ë.ñ.);233;8.5;11.1;AI-95;225/60/R15;501;90
325xi 2.5 AT (218 ë.ñ.) 4WD;242;7.5;9.2;AI-95;205/55/R16;460;63
330i 3.0 MT (231 ë.ñ.);250;6.5;9.1;AI-95;205/50/R17;440;63
528i xDrive 2.0 AT (245 ë.ñ.) 4WD;250;6.3;6.4;AI-95;225/55/R17;520;70
320i 2.0 MT (150 ë.ñ.);211;10.6;9.0;AI-95;195/65/R15;440;63
20d 2.0d AT (184 ë.ñ.) 4WD;210;8.5;5.6;DT;225/60/R17;550;67
20d xDrive 2.0d AT (184 ë.ñ.) 4WD;210;5.5;5.6;DT;225/60/R17;550;67
30i 3.0 AT (272 ë.ñ.) 4WD;210;7.5;10.3;AI-95;235/55/R17;480;67
25i 2.5 AT (192 ë.ñ.) 4WD;208;9.8;11.9;AI-95;235/55/R17;500;67
520i 2.0 AT (150 ë.ñ.);207;11.7;9.0;AI-95;195/65/R15;460;80
30d 3.0d AT (218 ë.ñ.) 4WD;210;7.4;7.9;DT;235/55/R17;500;67
325i 2.5 AT (218 ë.ñ.);210;11.2;7.4;AI-95;205/55/R16;460;63
518i 1.8 MT (113 ë.ñ.);194;12.4;8.6;AI-95;195/65/R15;460;80
523i 2.5 AT (170 ë.ñ.);226;9.6;10.3;AI-95;205/65/R15;460;70
116i 1.6 AT (115 ë.ñ.);197;12.2;7.7;AI-95;195/55/R16;330;53
728i 2.8 AT (193 ë.ñ.);226;9.6;8.1;AI-95;215/65/R16;500;85
520d 2.0d AT (177 ë.ñ.);226;8.4;6.1;DT;225/55/R16;520;70
750i 4.4 AT (407 ë.ñ.);250;5.2;11.4;AI-95;245/50/R18;645;82
30d 3.0d AT (249 ë.ñ.) 4WD;240;5.8;6.0;DT;225/60/R18;550;60
35d 3.0d AT (286 ë.ñ.) 4WD;216;7.1;8.2;DT;225/55/R18;620;85
20i xDrive 2.0 AT (184 ë.ñ.) 4WD;215;8.3;7.6;AI-95;225/60/R18;550;60
316i 1.8 MT (115 ë.ñ.);201;10.9;7.0;AI-95;195/65/R15;309;63
120d 2.0d MT (177 ë.ñ.);228;7.6;5.5;DT;205/55/R16;330;50
20d 2.0d AT (177 ë.ñ.) 4WD;205;9.2;7.0;DT;235/55/R17;480;67
18i 2.0 AT (150 ë.ñ.);202;9.7;8.2;AI-98;225/50/R17;420;63
520i 2.0 AT (184 ë.ñ.);233;7.9;6.0;AI-95;225/55/R17;520;70
3.0i 3.0 AT (231 ë.ñ.) 4WD;210;8.8;10.3;AI-95;235/65/R17;465;92
116i 1.6 AT (136 ë.ñ.);210;8.7;5.6;AI-95;195/55/R16;360;52
750Li xDrive 4.4 AT (450 ë.ñ.) 4WD;250;4.5;8.3;AI-95;245/50/R18;515;78
745d 4.4d AT (329 ë.ñ.);250;6.6;9.5;DT;245/50/R17;500;88
740i 4.4 AT (286 ë.ñ.);240;7.5;9.8;AI-95;235/60/R16;501;85
530d xDrive 3.0d AT (249 ë.ñ.) 4WD;250;5.4;5.6;DT;225/55/R17;530;68
4.4 AT (575 ë.ñ.) 4WD;250;4.2;11.1;AI-95;285/40/R20;650;85
316i 1.9 MT (105 ë.ñ.);200;12.4;5.7;AI-95;195/65/R15;440;63
30d 3.0d AT (245 ë.ñ.) 4WD;230;6.2;6.0;DT;225/60/R17;550;67
M50d 3.0d AT (381 ë.ñ.) 4WD;250;5.3;6.7;DT;255/50/R19;650;85
520Li 2.0 AT (184 ë.ñ.);225;8.6;7.1;AI-95;225/55/R17;530;70
318i 1.9 MT (118 ë.ñ.);206;10.4;6.1;AI-95;195/65/R15;440;63
328i 2.0 AT (245 ë.ñ.);250;6.1;6.3;AI-95;225/50/R17;480;60
330i 3.0 AT (258 ë.ñ.);250;6.6;9.0;AI-98;225/45/R17;460;63
40d 3.0d AT (313 ë.ñ.) 4WD;236;5.9;6.2;DT;255/55/R18;650;85
420i 2.0 AT (184 ë.ñ.);236;7.3;6.1;AI-95;225/50/R17;445;60
Competition 4.4 AT (625 ë.ñ.) 4WD;250;3.3;10.8;AI-95;275/35/R20;530;68
118i 1.5 AT (136 ë.ñ.);210;8.7;5.2;AI-95;195/55/R16;360;52
40d 3.0d AT (306 ë.ñ.) 4WD;236;6.5;7.5;DT;255/50/R19;724;85
30i xDrive 2.0 AT (249 ë.ñ.) 4WD;240;6.3;7.6;AI-95;225/60/R18;550;60
sDrive18i 1.5 AMT (140 ë.ñ.);203;9.6;6.4;AI-95;225/55/R17;505;61
530i xDrive 2.0 AT (249 ë.ñ.) 4WD;250;6.3;6.1;AI-95;225/55/R17;530;68
316i 1.6 AT (136 ë.ñ.);210;9.2;5.8;AI-95;205/60/R16;480;60
120d 2.0d AT (177 ë.ñ.);210;9.1;5.4;DT;195/55/R16;330;50
730d xDrive 3.0d AT (249 ë.ñ.) 4WD;250;5.8;5.3;DT;225/60/R17;515;78
30i 3.0 AT (231 ë.ñ.) 4WD;221;8.1;9.1;AI-95;235/55/R17;500;67
320d 2.0d AT (184 ë.ñ.);230;7.4;4.4;DT;205/60/R16;480;60
5.0 AMT (507 ë.ñ.);250;4.7;14.4;AI-98;255/40/R19;520;70
530d 3.0d AT (245 ë.ñ.);250;6.3;6.1;DT;225/55/R17;530;70
530d xDrive 3.0d AT (258 ë.ñ.) 4WD;250;6.0;5.5;DT;225/55/R17;530;70
25d 3.0d AT (218 ë.ñ.) 4WD;220;8.0;6.2;DT;255/55/R18;650;85
18d xDrive 2.0d AT (150 ë.ñ.) 4WD;204;9.3;4.7;DT;225/55/R17;505;61
520d xDrive 2.0d AT (190 ë.ñ.) 4WD;232;7.6;4.9;DT;225/55/R17;530;68
320d xDrive 2.0d AT (190 ë.ñ.) 4WD;228;7.3;4.7;DT;205/60/R16;480;60
18i sDrive 1.5 AMT (140 ë.ñ.);203;9.6;6.4;AI-95;225/55/R17;505;61
3.0d 3.0d AT (235 ë.ñ.) 4WD;220;8.0;8.9;DT;225/50/R19;724;85
Competition Pack 4.4 AMT (575 ë.ñ.);250;4.3;9.9;AI-95;unknown;530;80
740Li xDrive 3.0 AT (326 ë.ñ.) 4WD;250;5.5;7.0;AI-95;225/60/R17;515;78
520d 2.0d AT (184 ë.ñ.);227;8.1;5.2;DT;225/55/R17;530;70
M550i xDrive 4.4 AT (462 ë.ñ.) 4WD;250;4.1;8.9;AI-95;245/40/R19;530;68
335i 3.0 AT (306 ë.ñ.);250;5.6;9.6;AI-95;225/45/R17;460;63
3.0d 3.0d AT (218 ë.ñ.) 4WD;205;8.8;8.0;DT;235/65/R17;465;93
20d xDrive 2.0d AT (190 ë.ñ.) 4WD;210;8.1;5.2;DT;225/60/R17;550;67
750Ld xDrive 3.0d AT (381 ë.ñ.) 4WD;250;4.9;6.4;DT;245/50/R18;500;80
320i 2.2 AT (170 ë.ñ.);223;9.3;9.4;AI-95;195/65/R15;439;63
4.4 AMT (560 ë.ñ.);250;4.4;9.9;AI-95;265/40/R19;530;80
640i 3.0 AT (320 ë.ñ.);250;5.3;7.6;AI-95;225/55/R17;460;70
330i 2.0 AT (258 ë.ñ.);250;5.8;6.1;AI-95;225/50/R17;480;40
640d xDrive 3.0d AT (320 ë.ñ.) 4WD;250;5.3;6.5;DT;225/60/R17;610;68
420d xDrive 2.0d AT (190 ë.ñ.) 4WD;230;7.2;4.4;DT;225/50/R17;445;60
3.0 AT (231 ë.ñ.);210;8.8;10.3;AI-95;235/65/R17;465;92
420d 2.0d MT (184 ë.ñ.);240;7.5;4.7;DT;225/50/R17;445;60
320d 2.0d AT (177 ë.ñ.);230;7.9;5.5;DT;205/55/R16;460;63
420d xDrive 2.0d AT (184 ë.ñ.) 4WD;229;7.3;4.7;DT;225/50/R17;445;60
30i 2.0 AT (249 ë.ñ.) 4WD;240;6.3;7.6;AI-95;225/60/R18;550;60
30i 3.0 AT (264 ë.ñ.) 4WD;210;8.1;13.1;AI-95;255/55/R18;620;85
650i xDrive 4.4 AT (407 ë.ñ.) 4WD;250;4.8;11.3;AI-95;245/45/R18;460;70
320d xDrive 2.0d AT (184 ë.ñ.) 4WD;228;7.4;4.7;DT;205/60/R16;480;60
M50i 4.4 AT (530 ë.ñ.) 4WD;250;4.3;10.7;AI-95;275/40/R21;645;83
525i 2.5 AT (192 ë.ñ.);233;8.7;9.9;AI-95;225/55/R16;520;70
535i xDrive 3.0 AT (306 ë.ñ.) 4WD;250;5.6;7.6;AI-95;225/55/R17;520;70
50i 4.4 AT (407 ë.ñ.) 4WD;240;5.4;12.5;AI-95;255/50/R19;724;85
50i 4.4 AT (450 ë.ñ.) 4WD;250;5.0;10.4;AI-95;255/50/R19;650;85
30d 3.0d AT (235 ë.ñ.) 4WD;220;8.0;8.9;DT;225/50/R19;724;85
30d 3.0d MT (218 ë.ñ.) 4WD;210;7.4;7.9;DT;235/55/R17;480;67
28i 2.0 AT (245 ë.ñ.) 4WD;210;6.7;7.5;AI-95;225/60/R17;550;67
320i 2.0 AT (170 ë.ñ.);226;8.9;6.5;AI-95;205/55/R16;460;63
524d 2.4d AT (115 ë.ñ.);192;12.9;6.6;DT;195/65/R15;460;80
323i 2.5 AT (170 ë.ñ.);228;9.1;10.0;AI-95;195/65/R15;440;63
20d 2.0d AT (190 ë.ñ.) 4WD;213;8.0;5.1;DT;225/60/R18;550;60
520i 2.0 MT (125 ë.ñ.);185;11.8;9.2;AI-95;175/80/R14;460;70
520i 2.0 MT (150 ë.ñ.);220;10.2;9.1;AI-95;205/65/R15;460;70
528i 2.0 AT (245 ë.ñ.);250;6.3;6.5;AI-95;225/55/R17;530;70
525i 2.5 AT (218 ë.ñ.);242;7.9;9.4;AI-95;225/55/R16;520;70
525d xDrive 2.0d AT (218 ë.ñ.) 4WD;240;7.0;5.1;DT;225/55/R17;520;70
Competition 3.0 AT (510 ë.ñ.) 4WD;250;4.1;10.5;AI-98;255/40/R21;0;65
325i 2.5 AT (192 ë.ñ.);237;8.3;9.5;AI-95;195/65/R15;440;63
740d xDrive 3.0d AT (320 ë.ñ.) 4WD;250;5.2;4.9;DT;225/60/R17;515;78
430i xDrive 2.0 AT (249 ë.ñ.) 4WD;250;5.8;5.9;AI-95;225/50/R17;445;60
525xi 2.5 AT (218 ë.ñ.) 4WD;237;8.3;10.0;AI-95;225/55/R17;520;70
320i 2.0 AT (150 ë.ñ.);215;9.7;7.9;AI-95;205/55/R16;460;63
540i 4.4 AT (286 ë.ñ.);250;6.4;8.9;AI-95;225/55/R16;460;70
30d xDrive 3.0d AT (258 ë.ñ.) 4WD;230;6.2;6.0;DT;225/60/R17;550;67
530xi 3.0 AT (258 ë.ñ.) 4WD;250;6.8;10.0;AI-95;225/50/R17;520;70
25i 2.5 AT (218 ë.ñ.) 4WD;210;8.9;10.1;AI-95;235/55/R17;480;67
730Ld xDrive 3.0d AT (265 ë.ñ.) 4WD;250;5.9;4.8;DT;225/60/R17;515;78
3.0sd 3.0d AT (286 ë.ñ.) 4WD;235;7.0;8.8;DT;255/55/R18;620;85
640d xDrive 3.0d AT (313 ë.ñ.) 4WD;250;5.2;5.7;DT;225/55/R17;460;70
750Li xDrive 4.4 AT (407 ë.ñ.) 4WD;250;5.1;11.9;AI-95;245/50/R18;630;82
528i 2.8 MT (193 ë.ñ.);236;7.5;7.4;AI-95;225/65/R15;460;70
318i 1.5 AT (136 ë.ñ.);210;9.1;5.4;AI-95;205/60/R16;480;60
730Ld xDrive 3.0d AT (249 ë.ñ.) 4WD;250;5.9;5.3;DT;225/60/R17;515;78
1.5hyb AT (231 ë.ñ.) 4WD;250;4.4;2.1;AI-98;195/50/R20;154;30
530i 3.0 AT (231 ë.ñ.);244;7.6;10.7;AI-95;225/55/R16;460;70
30d xDrive 3.0d AT (249 ë.ñ.) 4WD;240;5.8;6.0;DT;225/60/R18;550;60
520d 2.0d AT (190 ë.ñ.);235;7.5;4.5;DT;225/55/R17;530;68
318i 2.0 AT (143 ë.ñ.);214;10.2;8.1;AI-95;205/55/R16;439;63
28i xDrive 3.0 AT (258 ë.ñ.) 4WD;230;6.9;9.0;AI-95;225/60/R17;550;67
535i 3.0 AT (306 ë.ñ.);250;6.1;8.4;AI-95;225/55/R17;530;70
116i 1.6 MT (115 ë.ñ.);200;10.9;7.5;AI-95;195/55/R16;330;50
3.0 MT (431 ë.ñ.);250;4.3;8.8;AI-98;255/40/R18;445;60
730i 2.0 AT (249 ë.ñ.);250;6.2;6.2;AI-95;225/60/R17;515;78
M40d 3.0d AT (326 ë.ñ.) 4WD;250;4.9;6.5;DT;245/45/R20;550;60
730d xDrive 3.0d AT (265 ë.ñ.) 4WD;250;5.8;4.8;DT;225/60/R17;515;78
M760Li xDrive 6.6 AT (609 ë.ñ.) 4WD;250;3.8;13.0;AI-95;245/40/R20;515;78
40i 3.0 AT (340 ë.ñ.) 4WD;243;5.5;8.8;AI-95;255/55/R18;645;83
420d 2.0d AT (190 ë.ñ.);232;7.1;4.0;DT;225/50/R17;445;60
1.5 AT (136 ë.ñ.);210;8.8;5.1;AI-95;205/55/R16;390;52
4.4 AT (555 ë.ñ.) 4WD;250;4.7;13.9;AI-95;unknown;570;85
320d 2.0d AT (190 ë.ñ.);230;7.2;4.4;DT;205/60/R16;480;60
120i 2.0 AT (156 ë.ñ.);213;9.1;7.6;AI-95;205/55/R16;330;53
M50d 3.0d AT (400 ë.ñ.) 4WD;250;5.2;7.2;DT;275/40/R21;645;83
750d xDrive 3.0d AT (400 ë.ñ.) 4WD;250;4.6;5.7;DT;225/60/R17;515;78
20i xDrive 2.0 AT (192 ë.ñ.) 4WD;223;7.4;6.3;AI-95;225/55/R17;505;61
530i 3.0 AT (258 ë.ñ.);250;6.7;9.3;AI-98;225/55/R16;520;70
750i 5.4 AT (326 ë.ñ.);250;6.6;14.0;AI-95;235/60/R16;501;85
xDrive20d 2.0d AT (190 ë.ñ.) 4WD;213;8.0;5.1;DT;225/60/R18;550;60
4.4i 4.4 AT (320 ë.ñ.) 4WD;210;7.0;10.2;AI-98;235/65/R17;465;93
750Li xDrive 4.4 AT (530 ë.ñ.) 4WD;250;4.1;9.6;AI-95;245/50/R18;515;78
523i 2.5 AT (204 ë.ñ.);234;8.5;8.0;AI-95;225/55/R17;530;70
740Li xDrive 3.0 AT (320 ë.ñ.) 4WD;250;5.6;8.3;AI-95;245/50/R18;500;80
530d xDrive 3.0d AT (245 ë.ñ.) 4WD;235;6.9;6.9;DT;245/50/R18;440;70
320i 2.0 MT (184 ë.ñ.);235;7.3;6.1;AI-95;205/60/R16;480;60
528Li xDrive 2.0 AT (245 ë.ñ.) 4WD;247;7.1;7.8;AI-95;225/55/R17;520;70
M550d xDrive 3.0d AT (400 ë.ñ.) 4WD;250;4.4;6.1;DT;245/40/R19;530;68
640i xDrive 3.0 AT (320 ë.ñ.) 4WD;250;5.2;7.9;AI-95;225/55/R17;460;70
730d xDrive 3.0d AT (258 ë.ñ.) 4WD;250;6.0;6.0;DT;245/55/R17;500;80
528i 3.0 AT (258 ë.ñ.);250;6.0;5.3;DT;225/55/R17;530;70
320d 2.0d MT (136 ë.ñ.);207;9.9;4.7;DT;195/65/R15;440;63
318i 1.8 MT (115 ë.ñ.);201;11.3;7.6;AI-95;185/65/R15;435;65
428i 2.0 AT (245 ë.ñ.);250;6.4;6.6;AI-95;225/50/R17;220;57
750Li 4.4 AT (407 ë.ñ.);250;5.1;11.9;AI-95;245/50/R18;630;82
740Ld xDrive 3.0d AT (320 ë.ñ.) 4WD;250;5.3;5.0;DT;225/60/R17;515;78
25i 3.0 AT (218 ë.ñ.) 4WD;223;7.9;9.3;AI-95;225/50/R17;420;63
545i 4.4 AT (333 ë.ñ.);250;5.9;10.6;AI-95;225/50/R17;520;70
740d xDrive 3.0d AT (306 ë.ñ.) 4WD;250;6.3;6.9;DT;245/55/R17;645;82
4.8i 4.8 AT (355 ë.ñ.) 4WD;240;6.5;12.5;AI-98;255/55/R18;620;85
20i 2.0 AT (184 ë.ñ.);210;8.6;7.5;AI-95;225/60/R17;550;67
520i 2.2 AT (170 ë.ñ.);226;9.9;9.8;AI-95;225/55/R16;520;70
535d xDrive 3.0d AT (300 ë.ñ.) 4WD;250;6.0;7.1;DT;245/50/R18;440;70
530d 3.0d AT (258 ë.ñ.);245;6.2;5.8;DT;245/50/R18;440;70
420i xDrive 2.0 AT (184 ë.ñ.) 4WD;231;7.5;8.6;AI-95;225/50/R17;445;60
735i 3.6 AT (272 ë.ñ.);250;7.5;10.7;AI-95;245/55/R17;500;88
sDrive20i 2.0 AMT (190 ë.ñ.);227;7.7;5.9;AI-95;225/55/R17;470;51
428i xDrive 2.0 AT (245 ë.ñ.) 4WD;250;5.8;6.4;AI-95;225/50/R17;445;60
530i xDrive 2.0 AT (252 ë.ñ.) 4WD;250;6.0;6.4;AI-95;225/55/R17;530;68
525d 2.5d AT (143 ë.ñ.);211;10.4;5.8;DT;205/65/R15;460;70
840d xDrive 3.0d AT (320 ë.ñ.) 4WD;250;4.9;6.2;DT;245/45/R18;420;68
ActiveHybrid 4.4hyb AT (407 ë.ñ.) 4WD;236;5.6;9.9;AI-98;255/50/R19;724;85
750i xDrive 4.4 AT (407 ë.ñ.) 4WD;250;5.1;11.9;AI-95;245/50/R18;645;82
525d 2.5d MT (143 ë.ñ.);211;10.4;5.8;DT;205/65/R15;460;70
xDrive20i 2.0 AT (192 ë.ñ.) 4WD;224;7.4;6.2;AI-95;225/55/R17;470;51
M850i xDrive 4.4 AT (530 ë.ñ.) 4WD;250;3.7;10.5;AI-95;245/35/R20;420;68
316i 1.8 AT (115 ë.ñ.);197;12.2;8.1;AI-95;205/55/R16;436;63
Competition Package 3.0 AMT (450 ë.ñ.);250;4.0;8.3;AI-98;265/30/R20;480;60
Electro AT (126 êÂò);150;7.3;0.0;electro;155/70/R19;0;0
M550d xDrive 3.0d AT (381 ë.ñ.) 4WD;250;4.7;6.2;DT;245/40/R19;520;70
330i 3.0 MT (272 ë.ñ.);250;6.2;8.7;AI-95;225/45/R17;460;63
525i 2.5 AT (170 ë.ñ.);217;11.3;9.5;AI-92;195/65/R15;460;80
540i xDrive 3.0 AT (340 ë.ñ.) 4WD;250;4.8;7.4;AI-95;225/55/R17;530;68
750i 4.8 AT (367 ë.ñ.);250;5.9;11.4;AI-98;245/55/R17;500;88
550i xDrive 4.4 AT (407 ë.ñ.) 4WD;250;4.8;11.0;AI-95;245/45/R18;530;70
123d 2.0d AT (204 ë.ñ.);236;7.1;5.6;DT;205/50/R17;360;51
740Li 4.0 AT (306 ë.ñ.);250;6.9;11.2;AI-98;245/55/R17;500;88
525d 2.5d AT (177 ë.ñ.);230;8.1;7.8;DT;225/55/R16;520;70
3.0 AT (265 ë.ñ.);250;6.0;9.0;AI-98;225/45/R17;340;55
850i 5.0 AT (300 ë.ñ.);250;7.4;13.0;AI-95;235/50/R16;320;90
435i xDrive 3.0 AT (306 ë.ñ.) 4WD;250;4.9;7.6;AI-95;225/50/R17;445;60
325i 2.5 MT (192 ë.ñ.);233;8.0;8.8;AI-95;205/60/R15;435;65
316i 1.6 MT (102 ë.ñ.);196;12.7;7.4;AI-95;185/65/R15;435;65
530xi 3.0 AT (272 ë.ñ.) 4WD;250;7.0;10.3;AI-95;225/50/R17;520;70
528Li 2.0 AT (245 ë.ñ.);250;6.5;7.0;AI-95;225/55/R17;530;70
630i 3.0 AT (258 ë.ñ.);250;6.5;9.0;AI-95;245/50/R17;450;70
740i 3.0 AT (320 ë.ñ.);250;5.7;7.9;AI-95;245/50/R18;500;80
318d 2.0d MT (122 ë.ñ.);206;10.6;5.6;DT;205/55/R16;460;63
740d 3.0d AT (306 ë.ñ.);250;6.3;6.9;DT;245/55/R17;645;82
630i 3.0 AT (272 ë.ñ.);250;6.6;9.5;AI-95;245/50/R17;450;70
318i 1.8 MT (140 ë.ñ.);213;10.2;7.7;AI-95;185/65/R15;435;65
750i xDrive 4.4 AT (530 ë.ñ.) 4WD;250;4.0;9.5;AI-95;245/45/R19;515;78
840i xDrive 3.0 AT (340 ë.ñ.) 4WD;250;4.7;7.7;AI-95;245/45/R18;420;68
1.9 AT (140 ë.ñ.);207;11.2;7.9;AI-95;185/65/R15;435;65
650i xDrive 4.4 AT (450 ë.ñ.) 4WD;250;4.8;9.2;AI-95;245/45/R18;460;70
18i sDrive 1.5 AT (136 ë.ñ.);200;9.7;5.4;AI-95;225/55/R17;505;61
118i 2.0 AT (136 ë.ñ.);204;10.0;7.6;AI-95;195/55/R16;330;53
760Li 6.0 AT (544 ë.ñ.);250;4.6;13.0;AI-98;245/50/R18;630;82
