name;maxSpeed;acceleration;fuelRateMixed;fuelType;wheelSize;truckMin;fuelVolume
730d 3.0d AT (218 ë.ñ.);235;8.0;8.5;DT;245/55/R17;500;88
28i 3.0 AT (258 ë.ñ.) 4WD;205;6.8;9.4;AI-95;225/50/R17;420;63
35d 3.0d AT (269 ë.ñ.) 4WD;209;7.2;10.7;DT;255/55/R18;620;85
528i 2.8 AT (193 ë.ñ.);234;8.8;10.7;AI-95;225/65/R15;460;70
118i 1.6 AT (170 ë.ñ.);222;7.2;5.6;AI-95;195/55/R16;360;52
730i 2.0 AT (258 ë.ñ.);250;6.2;6.2;AI-95;225/60/R17;515;78
750Li 4.8 AT (367 ë.ñ.);250;6.0;11.4;AI-98;245/55/R17;500;88
740Li xDrive 3.0 AT (340 ë.ñ.) 4WD;250;5.1;8.4;AI-95;225/60/R17;515;78
M40i 3.0 AT (360 ë.ñ.) 4WD;250;4.8;8.9;AI-95;245/45/R20;550;60
730i 3.0 AT (188 ë.ñ.);222;11.3;11.7;AI-95;205/65/R15;501;90
118d 2.0d MT (122 ë.ñ.);201;9.0;5.6;DT;195/55/R16;330;50
760Li 6.0 AT (445 ë.ñ.);250;5.6;13.6;AI-95;245/50/R18;500;88
645i 4.4 AT (333 ë.ñ.);250;5.6;11.7;AI-95;245/45/R18;450;70
3.0d 2.9d AT (184 ë.ñ.) 4WD;200;10.5;9.7;DT;235/65/R17;465;92
620d xDrive 2.0d AT (190 ë.ñ.) 4WD;218;8.0;5.4;DT;225/60/R17;610;68
30d 3.0d AT (231 ë.ñ.) 4WD;210;8.1;8.7;DT;255/55/R18;620;85
740i 4.0 AT (306 ë.ñ.);250;6.9;11.2;AI-95;245/55/R17;500;88
120i 2.0 AT (150 ë.ñ.);214;9.2;6.5;AI-95;195/55/R16;330;50
328i xDrive 2.0 AT (245 ë.ñ.) 4WD;250;5.8;6.7;AI-95;225/50/R17;480;60
318i 2.0 MT (143 ë.ñ.);218;9.3;7.2;AI-95;205/55/R16;439;63
525d 3.0d AT (197 ë.ñ.);232;7.7;7.9;DT;225/55/R16;520;70
525xi 3.0 AT (218 ë.ñ.) 4WD;234;8.2;8.1;AI-95;225/50/R17;520;70
M760Li xDrive 6.6 AT (610 ë.ñ.) 4WD;250;3.7;12.8;AI-98;245/40/R20;515;78
535i 3.5 AT (235 ë.ñ.);247;7.0;10.2;AI-95;205/65/R15;460;70
745Li 4.4 AT (333 ë.ñ.);250;6.3;11.4;AI-95;245/55/R17;500;88
3.0 AMT (370 ë.ñ.);250;4.3;7.9;AI-98;245/35/R19;390;52
xDrive18d 2.0d AT (150 ë.ñ.) 4WD;206;9.4;4.9;DT;225/55/R17;470;51
20i sDrive 2.0 AT (192 ë.ñ.);225;7.7;5.9;AI-95;225/55/R17;505;61
735Li 3.5 AT (235 ë.ñ.);240;8.4;13.0;AI-95;235/60/R16;500;85
330i xDrive 2.0 AT (249 ë.ñ.) 4WD;250;5.8;6.2;AI-95;225/50/R17;480;60
4.6is 4.6 AT (347 ë.ñ.) 4WD;240;6.5;11.4;AI-95;275/40/R20;465;92
218i 1.5 AMT (140 ë.ñ.);215;8.7;5.4;AI-95;205/55/R16;430;42
4.9 MT (400 ë.ñ.);250;5.3;13.9;AI-98;245/40/R18;460;70
530d 2.9d AT (193 ë.ñ.);230;8.0;8.3;DT;225/60/R15;460;70
120d 2.0d AT (184 ë.ñ.);228;7.3;4.5;DT;205/55/R16;360;52
430i 2.0 AT (249 ë.ñ.);250;5.8;5.5;AI-95;225/50/R17;445;60
750Ld xDrive 3.0d AT (400 ë.ñ.) 4WD;250;4.7;5.7;DT;225/60/R17;515;78
440i xDrive 3.0 AT (326 ë.ñ.) 4WD;250;4.9;7.0;AI-95;225/50/R17;445;60
740d xDrive 3.0d AT (313 ë.ñ.) 4WD;250;5.4;6.0;DT;245/50/R18;500;80
40e 2.0hyb AT (245 ë.ñ.) 4WD;210;6.8;3.3;AI-95;255/55/R18;650;85
2.0d AT (190 ë.ñ.) 4WD;225;7.7;4.8;DT;225/55/R17;520;60
318d 2.0d AT (150 ë.ñ.);224;8.3;4.5;DT;205/60/R16;480;40
725Ld 2.0d AT (231 ë.ñ.);245;7.0;5.0;DT;225/60/R17;515;78
M40i 3.0 AT (340 ë.ñ.);250;4.5;7.4;AI-95;255/40/R18;281;52
520d 2.0d MT (190 ë.ñ.);238;7.7;4.5;DT;225/55/R17;530;68
330i 3.0 AT (231 ë.ñ.);247;7.0;9.6;AI-95;205/50/R17;439;63
35i 3.0 AMT (306 ë.ñ.);240;6.7;10.1;AI-95;255/50/R19;724;85
325i 3.0 AT (218 ë.ñ.);247;6.9;8.4;AI-95;225/45/R17;440;63
330d xDrive 3.0d AT (245 ë.ñ.) 4WD;250;6.2;6.2;DT;225/45/R17;460;63
518i 1.8 MT (115 ë.ñ.);198;12.3;8.1;AI-95;195/65/R15;460;80
650i 4.8 AT (367 ë.ñ.);250;5.4;11.9;AI-95;245/45/R18;450;70
30d 3.0d AT (204 ë.ñ.) 4WD;210;8.2;9.1;DT;235/55/R17;500;67
2.5 AT (192 ë.ñ.);232;8.9;10.3;AI-95;225/60/R15;460;70
316i 1.6 MT (100 ë.ñ.);191;13.1;7.9;AI-95;185/65/R15;435;65
525i 3.0 AT (218 ë.ñ.);246;7.7;7.6;AI-95;225/55/R16;520;70
23d 2.0d AT (204 ë.ñ.) 4WD;205;7.3;6.3;DT;225/50/R17;420;63
323i 2.5 MT (170 ë.ñ.);227;8.0;8.3;AI-95;205/60/R15;435;65
118i 2.0 AT (129 ë.ñ.);204;10.1;7.3;AI-95;195/55/R16;330;50
4.8is 4.8 AT (360 ë.ñ.) 4WD;246;6.1;13.5;AI-95;235/65/R17;465;93
125i 3.0 AT (218 ë.ñ.);236;7.4;8.3;AI-95;205/50/R17;260;51
320i 2.0 MT (129 ë.ñ.);198;10.2;9.5;AI-92;195/65/R14;425;55
320i 2.2 MT (170 ë.ñ.);226;8.2;8.9;AI-95;195/65/R15;439;63
530i 3.0 AT (272 ë.ñ.);250;6.6;9.3;AI-95;225/50/R17;520;70
530i 2.0 AT (249 ë.ñ.);250;6.2;6.2;AI-95;225/55/R17;530;68
730d 3.0d AT (245 ë.ñ.);245;7.2;6.8;DT;245/55/R17;645;82
316i 1.6 MT (122 ë.ñ.);210;10.8;5.9;AI-95;205/55/R16;460;63
35i xDrive 3.0 AT (306 ë.ñ.) 4WD;245;5.7;8.8;AI-95;245/50/R18;550;67
335i xDrive 3.0 MT (306 ë.ñ.) 4WD;250;5.5;10.2;AI-95;225/45/R17;460;63
220i 2.0 AT (184 ë.ñ.);230;7.2;5.5;AI-95;205/45/R17;390;52
318i 1.8 MT (113 ë.ñ.);201;11.3;7.6;AI-95;185/65/R15;435;65
328i 2.8 AT (193 ë.ñ.);228;8.0;10.2;AI-95;205/60/R15;435;65
4.0 MT (420 ë.ñ.);250;4.8;12.4;AI-98;245/40/R18;440;63
520i 2.2 MT (170 ë.ñ.);226;9.1;9.0;AI-95;205/65/R15;460;70
730i 3.0 AT (258 ë.ñ.);245;7.7;9.8;AI-98;245/50/R18;645;82
525d 3.0d AT (204 ë.ñ.);236;7.2;6.1;DT;225/55/R17;530;70
730Ld 3.0d AT (245 ë.ñ.);245;7.3;6.9;DT;245/55/R17;630;82
650i 4.4 AT (407 ë.ñ.);250;4.9;10.5;AI-95;245/45/R18;460;70
335xi 3.0 AT (306 ë.ñ.) 4WD;250;5.5;9.7;AI-95;225/45/R17;440;63
318i 1.8 AT (115 ë.ñ.);200;12.3;8.6;AI-95;185/65/R15;435;65
320d 2.0d AT (163 ë.ñ.);225;8.3;6.7;DT;205/55/R16;460;63
325xi 2.5 AT (192 ë.ñ.) 4WD;231;8.5;10.3;AI-95;195/65/R15;439;63
4.0 AMT (420 ë.ñ.);250;4.6;12.0;AI-98;unknown;440;63
M235i xDrive 3.0 AT (326 ë.ñ.) 4WD;250;4.6;7.8;AI-95;225/40/R18;390;52
525xd 3.0d AT (197 ë.ñ.) 4WD;230;7.9;6.2;DT;225/55/R16;520;70
330d 2.9d AT (184 ë.ñ.);227;8.2;6.8;DT;205/50/R17;439;63
530d 2.9d AT (184 ë.ñ.);225;8.4;8.3;DT;225/65/R15;460;70
320i 2.0 MT (156 ë.ñ.);220;9.0;7.9;AI-95;205/55/R16;460;63
535i 3.4 MT (211 ë.ñ.);235;7.7;9.8;AI-95;225/60/R15;460;80
528i 3.0 AT (230 ë.ñ.);245;7.1;9.9;AI-98;225/50/R17;520;70
320d 2.0d MT (150 ë.ñ.);221;8.9;5.5;DT;205/55/R16;439;63
420d 2.0d AT (184 ë.ñ.);232;7.3;4.6;DT;225/50/R17;445;60
335i 3.0 AMT (306 ë.ñ.);250;5.7;8.8;AI-95;225/45/R17;350;63
740i 3.0 AT (326 ë.ñ.);250;5.9;9.9;AI-95;245/50/R18;645;82
520d 2.0d AT (163 ë.ñ.);225;8.6;6.1;DT;225/55/R16;520;70
550i 4.4 AT (407 ë.ñ.);250;5.0;10.4;AI-95;245/45/R18;530;70
3.0si 3.0 AT (264 ë.ñ.) 4WD;210;8.1;12.4;AI-95;255/55/R18;620;85
318i 2.0 MT (136 ë.ñ.);210;9.8;7.4;AI-95;205/55/R16;460;63
540i 4.0 AT (286 ë.ñ.);250;6.8;11.4;AI-95;225/60/R15;460;80
30i 3.0 AT (258 ë.ñ.);230;6.9;9.0;AI-95;225/60/R17;550;67
728Li 2.8 AT (193 ë.ñ.);225;9.6;11.0;AI-95;215/65/R16;500;85
730d 2.9d AT (184 ë.ñ.);220;9.2;8.7;DT;215/65/R16;501;85
330xi 3.0 AT (231 ë.ñ.) 4WD;242;7.4;10.2;AI-95;205/50/R17;440;63
2.5 MT (150 ë.ñ.);None;None;None;None;None;None;None
530d 3.0d AT (218 ë.ñ.);245;7.1;7.8;DT;225/55/R16;520;70
740Li 3.0 AT (326 ë.ñ.);250;6.0;10.0;AI-95;245/50/R18;630;82
3.0 AMT (431 ë.ñ.);250;4.1;8.3;AI-98;255/40/R18;445;60
530xd 3.0d AT (235 ë.ñ.) 4WD;240;6.8;6.6;DT;225/55/R16;520;70
318i 1.8 AT (113 ë.ñ.);198;12.8;8.1;AI-95;185/65/R15;435;65
535d 3.0d AT (313 ë.ñ.);250;5.7;5.9;DT;245/50/R18;440;70
330d 3.0d AT (231 ë.ñ.);248;6.8;7.4;DT;225/45/R17;460;63
335i xDrive 3.0 AT (306 ë.ñ.) 4WD;250;5.0;7.6;AI-95;225/50/R17;480;60
328i xDrive 3.0 AT (234 ë.ñ.) 4WD;209;7.2;7.2;AI-95;205/55/R16;460;63
535xi 3.0 AT (300 ë.ñ.) 4WD;None;5.6;None;AI-95;225/50/R17;520;70
525d 2.5d MT (115 ë.ñ.);194;12.9;7.1;DT;195/65/R15;460;80
730i 3.0 AT (231 ë.ñ.);237;8.1;10.6;AI-95;245/55/R17;500;88
525d 2.5d AT (163 ë.ñ.);215;9.4;8.2;DT;225/60/R16;410;70
Active Hybrid 7L 4.4hyb AT (450 ë.ñ.);250;4.9;9.4;AI-98;245/50/R18;630;82
20d 2.0d MT (177 ë.ñ.) 4WD;206;8.9;6.8;DT;235/55/R17;480;67
328i 2.0 MT (245 ë.ñ.);250;5.9;6.4;AI-95;225/50/R17;480;60
730d 3.0d AT (231 ë.ñ.);238;7.8;8.2;DT;245/55/R17;500;88
730i 3.0 AT (218 ë.ñ.);234;9.7;10.0;AI-95;215/65/R16;500;85
116i 1.6 AT (122 ë.ñ.);202;11.2;6.4;AI-95;195/55/R16;330;50
735i 3.5 AT (235 ë.ñ.);240;8.4;13.0;AI-95;235/60/R16;500;85
640i xDrive 3.0 AT (340 ë.ñ.) 4WD;250;5.3;8.5;AI-95;225/60/R17;610;68
735i 3.5 AT (238 ë.ñ.);243;8.2;12.5;AI-95;235/60/R16;501;85
730Ld 3.0d AT (258 ë.ñ.);250;6.2;5.6;DT;245/55/R17;500;80
525i 2.5 MT (150 ë.ñ.);197;9.9;10.1;AI-95;175/80/R14;460;70
316i 1.6 AT (100 ë.ñ.);189;15.0;7.8;AI-95;185/65/R15;435;65
530i 3.0 AT (218 ë.ñ.);232;8.8;10.5;AI-95;225/60/R15;460;80
316i 1.9 AT (105 ë.ñ.);194;13.6;9.0;AI-95;195/65/R15;440;63
745i 4.4 AT (333 ë.ñ.);250;6.3;11.5;AI-95;245/55/R17;500;88
325i 2.5 MT (170 ë.ñ.);231;8.3;9.0;AI-92;195/65/R14;425;55
520d 2.0d MT (163 ë.ñ.);227;8.5;5.6;DT;225/55/R16;520;70
4.4i 4.4 AT (329 ë.ñ.) 4WD;210;7.0;13.1;AI-98;255/55/R18;465;93
320d 2.0d AT (150 ë.ñ.);213;9.1;6.9;DT;205/55/R16;439;63
530d 3.0d AT (231 ë.ñ.);248;6.8;7.5;DT;225/50/R17;520;70
750d xDrive 3.0d AT (381 ë.ñ.) 4WD;250;4.9;6.4;DT;245/50/R18;500;80
30d 3.0d AT (211 ë.ñ.) 4WD;210;8.6;8.7;DT;255/55/R18;620;85
330i 3.0 AT (272 ë.ñ.);250;6.4;9.2;AI-95;225/45/R17;460;63
135i 3.0 AT (306 ë.ñ.);250;5.4;9.2;AI-95;215/40/R18;360;51
760i 6.0 AT (445 ë.ñ.);250;5.5;13.4;AI-95;245/50/R18;500;88
535d xDrive 3.0d AT (313 ë.ñ.) 4WD;250;5.5;5.7;DT;unknown;530;70
316i 1.8 MT (102 ë.ñ.);182;12.1;7.9;AI-92;unknown;425;55
316 1.8 MT (90 ë.ñ.);175;12.1;7.9;AI-92;unknown;425;55
735i 3.4 AT (211 ë.ñ.);230;9.8;10.2;AI-95;225/60/R15;501;90
525i 2.5 MT (170 ë.ñ.);221;9.5;9.5;AI-92;195/65/R15;460;80
725Ld xDrive 2.0d AT (231 ë.ñ.) 4WD;250;7.0;5.0;DT;225/60/R17;515;78
440i 3.0 AT (326 ë.ñ.);250;5.4;6.8;AI-95;225/50/R17;220;57
318i 1.8 MT (102 ë.ñ.);182;12.1;7.9;AI-95;unknown;425;55
528i 2.8 MT (184 ë.ñ.);215;8.4;9.0;AI-95;unknown;460;70
330xi 3.0 MT (231 ë.ñ.) 4WD;247;6.6;9.9;AI-98;225/45/R17;439;63
340i xDrive 3.0 AT (326 ë.ñ.) 4WD;250;4.9;7.3;AI-95;225/50/R17;480;60
325xi 2.5 MT (192 ë.ñ.) 4WD;234;7.4;9.6;AI-95;195/65/R15;439;63
535i 3.4 AT (211 ë.ñ.);231;9.1;11.5;AI-95;225/60/R15;460;80
4.4 AT (600 ë.ñ.) 4WD;250;3.4;10.5;AI-95;275/40/R19;530;68
728i 2.8 MT (193 ë.ñ.);228;8.7;7.9;AI-95;215/65/R16;500;85
535d 3.0d AT (272 ë.ñ.);250;6.5;8.0;DT;225/50/R17;520;70
116i 1.6 MT (122 ë.ñ.);204;10.1;5.8;AI-95;195/55/R16;330;50
2.2 AT (170 ë.ñ.);226;9.1;9.9;AI-95;205/65/R15;460;70
120d 2.0d AT (190 ë.ñ.);228;7.0;3.9;DT;195/55/R16;360;52
318d 2.0d MT (143 ë.ñ.);210;9.6;4.8;DT;205/55/R16;460;63
535i 3.5 AT (245 ë.ñ.);247;7.6;8.5;AI-95;225/55/R16;460;70
520d 2.0d MT (177 ë.ñ.);228;8.3;5.6;DT;225/55/R16;520;70
330xd 3.0d AT (204 ë.ñ.) 4WD;225;8.1;8.9;DT;225/45/R17;436;63
318i 1.8 AT (140 ë.ñ.);207;11.6;6.4;AI-95;185/65/R15;435;65
530i 3.0 MT (218 ë.ñ.);235;7.7;10.8;AI-95;225/60/R15;460;80
320d 2.0d MT (177 ë.ñ.);232;7.9;4.8;DT;225/45/R17;440;63
118i 1.6 AT (136 ë.ñ.);210;8.7;5.6;AI-95;195/55/R16;360;52
518 1.8 MT (105 ë.ñ.);175;12.6;8.7;AI-95;unknown;460;70
M235i 3.0 MT (326 ë.ñ.);250;5.0;8.1;AI-95;225/40/R18;390;52
523i 3.0 AT (204 ë.ñ.);234;8.2;7.6;AI-95;225/55/R17;530;70
740Li 4.4 AT (286 ë.ñ.);250;7.5;14.0;AI-95;235/60/R16;500;85
220i 2.0 MT (184 ë.ñ.);235;7.0;6.1;AI-95;205/55/R16;390;52
3.0i 3.0 MT (231 ë.ñ.) 4WD;215;8.3;12.7;AI-95;235/65/R17;465;93
120d 2.0d AT (163 ë.ñ.);215;8.2;5.4;DT;195/55/R16;330;50
535d 3.0d AT (300 ë.ñ.);250;6.0;7.1;DT;245/50/R18;440;70
740i 4.0 AT (286 ë.ñ.);240;7.4;11.9;AI-95;225/60/R15;501;90
318i 1.8 MT (105 ë.ñ.);184;11.2;7.8;AI-95;175/70/R14;425;55
630i 2.0 AT (249 ë.ñ.);250;6.3;7.0;AI-95;225/60/R17;610;68
750Li 5.4 AT (326 ë.ñ.);250;6.6;10.4;AI-95;235/60/R16;500;85
530Li 3.0 AT (258 ë.ñ.);250;6.9;8.6;AI-95;245/45/R18;530;70
118i 1.6 MT (170 ë.ñ.);225;7.4;5.8;AI-95;195/55/R16;360;52
CS 3.0 AMT (460 ë.ñ.);280;3.9;8.4;AI-98;265/35/R19;0;60
20i 2.0 MT (184 ë.ñ.);205;7.5;6.8;AI-95;225/50//R17;420;63
523i 2.5 AT (190 ë.ñ.);236;8.7;7.5;AI-98;225/55/R16;520;70
530d 3.0d AT (235 ë.ñ.);250;6.8;6.7;DT;225/50/R17;520;70
M340i xDrive 3.0 AT (374 ë.ñ.) 4WD;250;4.4;7.4;AI-95;225/45/R18;480;40
540i 4.4 MT (286 ë.ñ.);250;6.2;6.2;AI-95;225/55/R16;460;70
730i 3.0 MT (188 ë.ñ.);225;9.4;11.1;AI-95;205/65/R15;501;90
35is 3.0 AMT (340 ë.ñ.);250;4.8;9.0;AI-95;225/40/R18;265;55
760i 6.0 AT (544 ë.ñ.);250;4.6;12.9;AI-95;245/50/R18;500;80
28i 2.0 AT (245 ë.ñ.);210;6.7;7.5;AI-95;225/60/R17;550;67
520i 2.0 AT (129 ë.ñ.);198;13.9;10.1;AI-92;195/65/R15;460;80
316i 1.6 AT (102 ë.ñ.);183;13.8;7.7;AI-95;185/65/R15;300;55
320i 2.0 MT (122 ë.ñ.);180;10.7;9.6;AI-92;unknown;404;58
130i 3.0 AT (265 ë.ñ.);250;6.3;9.2;AI-95;205/50/R17;330;50
328i xDrive 2.0 MT (245 ë.ñ.) 4WD;250;5.7;6.8;AI-95;225/50/R17;480;60
30d 3.0d AT (258 ë.ñ.) 4WD;230;6.2;6.0;DT;225/60/R17;550;67
116i 1.6 MT (136 ë.ñ.);210;8.5;5.5;AI-95;195/55/R16;360;52
325xi 2.5 AT (204 ë.ñ.) 4WD;250;7.0;7.1;AI-95;225/45/R17;440;61
330xi 3.0 AT (258 ë.ñ.) 4WD;250;6.9;10.0;AI-98;225/45/R17;469;63
3.0 AMT (410 ë.ñ.);280;4.2;9.2;AI-95;245/35/R19;390;52
35d xDrive 3.0d AT (313 ë.ñ.) 4WD;244;5.8;6.1;DT;245/50/R18;550;67
130i 3.0 MT (265 ë.ñ.);250;6.1;9.2;AI-95;205/50/R17;330;50
M135i xDrive 3.0 AT (320 ë.ñ.) 4WD;250;4.7;7.8;AI-95;225/40/R18;360;52
728i 2.8 MT (184 ë.ñ.);201;9.5;11.1;AI-92;195/70/R14;481;85
730d 2.9d AT (193 ë.ñ.);220;8.9;8.7;DT;215/65/R16;501;85
120i 2.0 MT (156 ë.ñ.);215;8.5;7.9;AI-95;205/55/R16;330;53
550i xDrive 4.4 AT (449 ë.ñ.) 4WD;250;4.4;9.2;AI-95;245/45/R18;520;70
330d 3.0d AT (258 ë.ñ.);250;5.6;4.9;DT;225/50/R17;480;60
640d 3.0d AT (313 ë.ñ.);250;5.3;5.4;DT;225/55/R17;460;70
320i 2.0 AT (129 ë.ñ.);195;12.0;9.5;AI-92;195/65/R14;425;55
550i xDrive 4.4 AT (450 ë.ñ.) 4WD;250;4.8;9.6;AI-95;245/45/R19;500;70
120d xDrive 2.0d AT (190 ë.ñ.) 4WD;222;6.8;4.3;DT;195/55/R16;360;52
325xi 2.5 MT (218 ë.ñ.) 4WD;242;7.5;9.2;AI-95;205/55/R16;460;63
2.0 MT (150 ë.ñ.);223;8.6;4.7;DT;225/55/R16;520;70
528i 3.0 AT (243 ë.ñ.);250;6.7;8.0;AI-95;225/55/R17;530;70
535d 3.0d AT (286 ë.ñ.);250;6.4;6.7;DT;225/50/R17;520;70
320d 2.0d MT (163 ë.ñ.);225;8.3;5.7;DT;205/55/R16;460;63
318d 2.0d AT (143 ë.ñ.);210;9.4;5.4;DT;205/55/R16;460;63
550i 4.8 AT (367 ë.ñ.);250;5.5;11.0;AI-95;225/50//R17;520;70
120d 2.0d MT (184 ë.ñ.) 4WD;225;7.2;4.7;DT;205/55/R16;360;52
520d 2.0d AT (150 ë.ñ.);223;8.6;4.7;DT;225/55/R16;520;70
25d 2.0d AT (218 ë.ñ.) 4WD;220;8.2;5.8;DT;255/55/R18;650;85
Competition Package 4.4 AMT (575 ë.ñ.);250;4.3;9.9;AI-95;unknown;530;80
23i 2.5 AT (204 ë.ñ.);239;7.3;8.2;AI-95;225/45/R17;265;55
318i 1.9 MT (140 ë.ñ.);213;10.2;7.7;AI-95;185/65/R15;435;65
330d 3.0d AT (231 ë.ñ.) 4WD;240;6.7;8.2;DT;225/45/R17;460;63
545i 4.4 MT (333 ë.ñ.);250;5.8;10.9;AI-95;225/50//R17;520;70
540i 4.0 AT (306 ë.ñ.);250;6.2;10.0;AI-95;225/50//R17;520;70
325i xDrive 3.0 AT (218 ë.ñ.) 4WD;245;7.6;8.2;AI-95;225/45/R17;440;63
335i 3.0 MT (306 ë.ñ.);250;5.6;9.6;AI-95;225/45/R17;460;63
525xi 3.0 MT (218 ë.ñ.) 4WD;240;7.9;8.1;AI-95;225/50/R17;520;70
530i 3.0 MT (272 ë.ñ.);250;6.4;8.8;AI-95;225/50/R17;520;70
730i 3.0 AT (197 ë.ñ.);225;8.9;10.8;AI-98;unknown;501;90
520i 2.0 AT (170 ë.ñ.);226;9.9;9.8;AI-95;225/55/R16;520;70
218i 1.5 AT (136 ë.ñ.);210;8.9;5.1;AI-95;205/55/R16;390;52
25i 2.5 AT (184 ë.ñ.) 4WD;202;11.1;12.4;AI-95;235/55/R17;500;67
528i 3.0 AT (258 ë.ñ.) 4WD;250;6.7;7.6;AI-95;225/55/R17;530;70
